GS_class;SF_class;SF_number;CH_distance;CH_area;SS_distance;SS_number;SS_areas;Day;Month;Year;CME_max_angular_width;CME_max_velocity;CME_number
0;1.1e-06;7;30.764998045898853;2749700432208.0;1000.0;0;0;3;1;2011;65;284.518;2
0;1.9e-06;49;3.272720000000996;2894742584076.0;1000.0;0;0;4;1;2011;35;391.0;4
0;1.1e-06;7;30.764998045898853;2749700432208.0;1000.0;0;0;3;1;2011;65;284.518;2
0;1.9e-06;49;3.272720000000996;2894742584076.0;1000.0;0;0;4;1;2011;35;391.0;4
0;4e-07;9;3.561752942636199;2652363219216.0;1000.0;0;0;5;1;2011;30;391.0;2
0;1.8e-07;3;3.5952353371930155;2284188964932.0;1000.0;0;0;6;1;2011;31;178.0;1
1;5.1e-07;9;3.6009490313354484;2197633633614.0;1000.0;0;0;7;1;2011;40;287.0;2
0;2.5e-07;4;24.068694227921085;2283084907839.0;1000.0;0;0;8;1;2011;95;220.0;2
0;1.3e-07;4;11.767649799270695;2467092405510.0;1000.0;0;0;9;1;2011;67;190.0;2
0;4.6e-07;20;11.068368992686713;2437904651414.0;1000.0;0;0;10;1;2011;110;347.0;4
0;3.1e-07;16;34.41121972859514;2475875127226.0;1000.0;0;0;11;1;2011;114;348.0;4
0;2.2e-07;12;34.752008484892265;2548644142449.0;1000.0;0;0;12;1;2011;100;487.0;5
0;3.7e-07;16;34.39902929996492;2417525644594.0;1000.0;0;0;13;1;2011;122;664.0;4
0;1.6999999999999996e-06;22;12.843810083369448;2358006588667.0;1000.0;0;0;14;1;2011;111;625.0;5
0;1.1e-06;35;11.556602931396082;2240072992769.0;1000.0;0;0;15;1;2011;11;285.0;1
0;2.4e-07;11;10.986683884745775;2200175389085.0;1000.0;0;0;16;1;2011;78;281.0;2
0;5.9e-07;21;11.012031368830018;2062176687758.0;1000.0;0;0;17;1;2011;24;229.0;1
0;2e-07;6;13.666735433499275;1924279623517.0;1000.0;0;0;18;1;2011;202;776.0;3
